Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
56,Taysom Hill,NOR,32,TE,12,7,,9,15,60.0,136,1,6.7,0,0.0,8,41,9.1,10.4,15.1,11.3,112.1,84.0,1,7,6.3,8.06,9.31,,,HillTa00
57,Deshaun Watson,CLE,27,QB,1,1,1-0-0,12,22,54.5,131,0,0.0,1,4.5,6,27,6.0,3.9,10.9,131.0,53.4,28.5,1,1,4.3,5.65,3.70,,,WatsDe00
58,Jarrett Stidham,LVR,26,QB,3,0,,8,13,61.5,72,0,0.0,0,0.0,4,18,5.5,5.5,9.0,24.0,76.4,37.9,1,8,7.1,4.57,4.57,,,StidJa00
59,Trace McSorley,ARI,27,QB,3,0,,8,14,57.1,71,0,0.0,1,7.1,5,18,5.1,1.9,8.9,23.7,41.1,38.9,1,8,6.7,4.20,1.20,,,McSoTr00
60,Jacob Eason,CAR,25,QB,1,0,,3,5,60.0,59,0,0.0,1,20.0,2,49,11.8,2.8,19.7,59.0,61.7,0.8,0,0,0.0,11.80,2.80,,,EasoJa00
61,Nick Mullens,MIN,27,QB,2,0,,6,8,75.0,51,0,0.0,0,0.0,3,15,6.4,6.4,8.5,25.5,91.1,30.4,0,0,0.0,6.38,6.38,,,MullNi00
62,Brian Hoyer,NWE,37,QB,1,1,0-1-0,5,6,83.3,37,0,0.0,0,0.0,2,27,6.2,6.2,7.4,37.0,92.4,23.2,1,8,14.3,4.14,4.14,,,HoyeBr00
63,Justin Jefferson,MIN,23,WR,12,12,,2,2,100.0,34,0,0.0,0,0.0,2,23,17.0,17.0,17.0,2.8,118.7,95.1,0,0,0.0,17.00,17.00,,,JeffJu00
64,Christian McCaffrey,2TM,26,RB,12,11,,1,1,100.0,34,1,100.0,0,0.0,1,34,34.0,54.0,34.0,2.8,158.3,100.0,0,0,0.0,34.00,54.00,0,0,McCaCh01
65,Gardner Minshew II,PHI,26,QB,2,0,,2,4,50.0,34,0,0.0,0,0.0,2,23,8.5,8.5,17.0,17.0,79.2,37.4,0,0,0.0,8.50,8.50,,,MinsGa00
66,Tyler Boyd,CIN,28,WR,12,10,,1,1,100.0,23,0,0.0,0,0.0,1,23,23.0,23.0,23.0,1.9,118.7,13.4,1,12,50.0,5.50,5.50,,,BoydTy00
67,Brandon Allen,CIN,30,QB,1,0,,3,3,100.0,22,0,0.0,0,0.0,1,13,7.3,7.3,7.3,22.0,97.2,49.9,1,0,25.0,5.50,5.50,,,AlleBr00
68,Riley Dixon,LAR,29,P,13,0,,2,2,100.0,18,0,0.0,0,0.0,2,12,9.0,9.0,9.0,1.4,104.2,,0,0,0.0,9.00,9.00,,,DixoRi00
69,Braden Mann,NYJ,25,P,12,0,,1,2,50.0,17,0,0.0,0,0.0,1,17,8.5,8.5,17.0,1.4,79.2,0.0,0,0,0.0,8.50,8.50,,,MannBr01
70,Ryan Wright,MIN,22,P,12,0,,1,1,100.0,13,0,0.0,0,0.0,1,13,13.0,13.0,13.0,1.1,118.7,,0,0,0.0,13.00,13.00,,,WrigRy00
71,Tyrod Taylor,NYG,33,QB,1,0,,1,3,33.3,11,0,0.0,1,33.3,1,11,3.7,-11.3,11.0,11.0,5.6,1.4,0,0,0.0,3.67,-11.33,,,TaylTy00
72,Case Keenum,BUF,34,QB,2,0,,2,7,28.6,8,0,0.0,0,0.0,0,5,1.1,1.1,4.0,4.0,39.6,4.5,0,0,0.0,1.14,1.14,,,KeenCa00
73,C.J. Beathard,JAX,29,QB,2,0,,2,3,66.7,6,0,0.0,0,0.0,0,3,2.0,2.0,3.0,3.0,70.1,50.8,0,0,0.0,2.00,2.00,,,BeatC.00
